tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
9.5,6.1,14.4,0.0,0.0,247.0,9.5,,1020.5,
13.9,10.0,16.7,30.7,0.0,112.0,16.4,,1005.2,
10.1,4.4,15.0,0.0,0.0,251.0,22.6,,1002.5,
5.0,3.3,7.8,0.0,0.0,265.0,27.0,,1014.6,
6.5,2.2,11.1,0.0,0.0,255.0,16.9,,1022.5,
8.6,7.2,10.6,3.0,0.0,246.0,12.7,,1017.7,
7.1,4.4,9.4,24.6,0.0,337.0,10.0,,1006.4,
4.3,1.7,7.8,0.0,0.0,292.0,6.4,,1009.7,
3.0,0.6,7.8,0.0,0.0,295.0,9.7,,1008.6,
2.2,0.0,5.6,0.0,0.0,330.0,7.0,,1008.6,
2.3,1.7,3.3,1.5,0.0,259.0,17.2,,1010.3,
6.7,2.8,11.1,0.0,0.0,272.0,8.5,,1018.0,
9.1,5.0,14.4,0.0,0.0,250.0,8.6,,1022.1,
11.1,8.9,13.9,0.0,0.0,327.0,9.5,,1018.1,
12.0,8.9,16.1,0.0,0.0,270.0,10.5,,1014.9,
5.7,3.3,8.9,7.1,0.0,334.0,7.5,,1014.2,
3.2,1.7,7.0,0.0,0.0,308.0,9.0,,1024.8,
-0.3,-1.7,1.1,9.9,0.0,35.0,27.7,,1025.7,
0.1,-2.8,2.8,14.7,280.0,2.0,14.8,,1012.9,
-0.4,-2.2,1.7,0.0,180.0,2.0,7.3,,1025.2,
-1.0,-3.9,1.1,0.0,180.0,340.0,8.0,,1028.9,
2.2,0.0,4.4,0.3,180.0,277.0,5.9,,1021.3,
5.2,3.9,8.9,0.0,130.0,255.0,8.1,,1010.5,
5.7,3.3,8.9,0.0,50.0,255.0,8.2,,1011.1,
5.2,3.3,7.8,0.0,0.0,246.0,8.1,,1027.8,
11.6,5.6,14.4,10.9,0.0,139.0,12.5,,1018.6,
9.1,0.0,15.0,16.8,0.0,215.0,23.5,,1002.1,
-1.3,-3.3,1.7,0.0,0.0,262.0,25.3,,1013.4,
0.4,-3.3,5.6,0.0,0.0,240.0,10.9,,1025.2,
6.8,2.2,12.2,0.0,0.0,199.0,9.3,,1022.0,
3.8,0.0,6.1,0.0,0.0,301.0,6.8,,1028.7,
2.3,-0.6,5.0,0.0,0.0,246.0,12.0,,1028.9,
6.3,3.3,8.9,15.2,0.0,296.0,9.7,,1020.8,
